Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RF,Yest_Close,stock_return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,RSI,ADS_Index,NIO Yest_Close,GM Yest_Close,TM Yest_Close,F Yest_Close,RACE Yest_Close
2018-09-13,19.201332092285156,19.666667938232422,19.011999130249023,19.297332763671875,19.297332763671875,95104500,0.45,-0.44,-0.4,0.008,19.369333267211914,-0.003717242227532959,20.1187331199646,21.043053169250488,19.456098402436204,20.246711574228424,-0.79061317179222,43.19386215391826,-0.158008,6.599999904632568,31.649934768676758,119.91000366210938,7.49232816696167,128.2538299560547
2018-09-14,19.250667572021484,19.82200050354004,19.101333618164062,19.68000030517578,19.68000030517578,101484000,0.12,0.27,0.25,0.008,19.297332763671875,0.019830074248618216,19.984566497802735,21.024439849853515,19.490544849011524,20.204732961706004,-0.7141881126944796,46.04242385909492,-0.174923,11.600000381469727,31.826496124267578,121.95999908447266,7.516393184661865,128.8912811279297
2018-09-17,19.336000442504883,20.058000564575195,19.208667755126953,19.6560001373291,19.6560001373291,103314000,-0.71,-0.45,0.84,0.008,19.68000030517578,-0.0012195207050056658,19.949033164978026,21.00569320678711,19.515999508752692,20.164086085826234,-0.648086577073542,45.88700724676605,-0.222019,9.899999618530273,32.179603576660156,122.27999877929688,7.58056640625,127.62602996826172
2018-09-18,19.779333114624023,20.176000595092773,18.366666793823242,18.997333526611328,18.997333526611328,248212500,0.57,0.05,-0.48,0.008,19.6560001373291,-0.033509697095844365,19.87076644897461,20.96095989227295,19.436204742269403,20.077659970328835,-0.6414552280594314,41.72440020086062,-0.236714,8.5,32.54201126098633,122.4800033569336,7.66078519821167,128.2634735107422
2018-09-19,18.700666427612305,20.0,18.700000762939453,19.934667587280273,19.934667587280273,124423500,0.06,-0.66,1.28,0.008,18.997333526611328,0.0493402960660734,19.79449987411499,20.92969326019287,19.512891333809538,20.067067941954868,-0.5541766081453297,48.83724074519941,-0.25094,7.679999828338623,32.6163444519043,125.02999877929688,7.684850215911865,133.5949249267578
2018-09-20,20.237333297729492,20.398666381835938,19.55533218383789,19.8886661529541,19.8886661529541,110241000,0.77,0.31,-0.22,0.008,19.934667587280273,-0.0023076098021079638,19.716799831390382,20.902186584472656,19.570702844447162,20.053852994621476,-0.48315015017431406,48.5242175503508,-0.264701,8.5,33.20176696777344,125.31999969482422,7.845285892486572,131.17066955566406
2018-09-21,19.84666633605957,20.038667678833008,19.691333770751953,19.940000534057617,19.940000534057617,75757500,-0.13,-0.42,0.3,0.008,19.8886661529541,0.002581087173404579,19.646799850463868,20.878706588745118,19.627517873618,20.045419479024154,-0.4179016054061542,48.91769291373663,-0.278002,8.779999732971191,33.527000427246094,124.94999694824219,7.869350433349609,132.60008239746094
2018-09-24,19.898666381835938,20.200000762939453,19.57200050354004,19.978666305541992,19.978666305541992,72645000,-0.31,0.06,-0.91,0.008,19.940000534057617,0.0019391058399589145,19.569666481018068,20.853119926452635,19.681540709298616,20.040474799506956,-0.35893409020834,49.23247039209349,-0.314922,8.59000015258789,32.820777893066406,124.72000122070312,7.901438236236572,132.77394104003906
2018-09-25,20.0,20.30666732788086,19.766666412353516,20.06599998474121,20.06599998474121,67225500,-0.05,0.27,-0.38,0.008,19.978666305541992,0.0043713468088204055,19.508733177185057,20.84097328186035,19.74068829013594,20.04236555396875,-0.30167726383281135,49.98218780853078,-0.3259,7.869999885559082,32.291114807128906,124.0,7.692871570587158,134.25169372558594
2018-09-26,20.12733268737793,20.926000595092773,20.073999404907227,20.6386661529541,20.6386661529541,117648000,-0.4,-0.38,-0.63,0.008,20.06599998474121,0.02853912930570932,19.501133155822753,20.823493270874025,19.878838730569502,20.086535968708407,-0.2076972381389055,54.70564616844013,-0.336176,7.579999923706055,31.176025390625,124.87999725341797,7.532436847686768,134.29031372070312
